model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date,ABT Window,Train Window,Test Window,Predict Date,retrained
IEF_xgb,train,0.1446,0.035,0.1871,0.0015,0.9879,0.9879,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
IEF_xgb,test,0.2171,0.0701,0.2648,0.0023,0.8305,0.8479,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
IEF_lgbm,train,0.1878,0.0564,0.2376,0.002,0.9804,0.9804,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
IEF_lgbm,test,0.21,0.0687,0.2622,0.0022,0.8338,0.851,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
IEF_lgbm,train,0.2332,0.087,0.2949,0.0025,0.9699,0.9699,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
IEF_lgbm,test,0.1949,0.0571,0.239,0.002,0.8619,0.8619,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
IEF_arima,train,0.3007,0.1438,0.3792,0.0032,0.9502,0.9502,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
IEF_arima,test,0.2158,0.0657,0.2562,0.0022,0.8413,0.8424,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
QQQ_linreg,train,3.985,27.3418,5.2289,0.008,0.9715,0.9715,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
QQQ_linreg,test,5.3443,42.0416,6.4839,0.0092,0.6864,0.754,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
QQQ_linreg,train,4.2677,31.3578,5.5998,0.0085,0.9674,0.9674,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
QQQ_linreg,test,4.5199,31.3704,5.6009,0.0078,0.766,0.8577,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
QQQ_rf,train,4.2455,38.911,6.2379,0.0086,0.9595,0.9595,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
QQQ_rf,test,3.2447,15.0871,3.8842,0.0056,0.8874,0.8952,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
