ticker,model,pred,real,timestamp,pred_delta,real_delta,pred_inc,real_inc,direction,Predicted,is_earnings_day,is_macro_day,MAE,MSE,RMSE,MAPE,R2,EVS,residual
NVDA,_NaiveModel,198.3500061035156,201.67999267578125,2026-04-17 00:00:00,0.0,3.3299865722656534,0.0,0.0167884369538551,False,2026-04-17,False,False,3.33,11.0888,3.33,0.0165,,1.0,-3.3299865722656534
ORCL,_NaiveModel,178.33999633789062,175.05999755859375,2026-04-17 00:00:00,0.0,-3.279998779296875,0.0,-0.0183918293520789,False,2026-04-17,False,False,3.28,10.7584,3.28,0.0187,,1.0,3.279998779296875
PG,_NaiveModel,143.11000061035156,146.92999267578125,2026-04-17 00:00:00,0.0,3.819992065429688,0.0,0.0266926982680298,False,2026-04-17,False,False,3.82,14.5923,3.82,0.026,,1.0,-3.8199920654296875
PLTR,_NaiveModel,142.75999450683594,146.38999938964844,2026-04-17 00:00:00,0.0,3.6300048828125,0.0,0.0254273257389252,False,2026-04-17,False,False,3.63,13.1769,3.63,0.0248,,1.0,-3.6300048828125
TSLA,_NaiveModel,388.8999938964844,400.6199951171875,2026-04-17 00:00:00,0.0,11.720001220703123,0.0,0.0301362854323487,False,2026-04-17,False,False,11.72,137.3584,11.72,0.0293,,1.0,-11.720001220703125
TSM,_NaiveModel,363.3500061035156,370.5,2026-04-17 00:00:00,0.0,7.149993896484375,0.0,0.0196779792937375,False,2026-04-17,False,False,7.15,51.1224,7.15,0.0193,,1.0,-7.149993896484375
UNH,_NaiveModel,316.3999938964844,324.6300048828125,2026-04-17 00:00:00,0.0,8.230010986328125,0.0,0.0260114132272098,False,2026-04-17,False,False,8.23,67.7331,8.23,0.0254,,1.0,-8.230010986328125
V,_NaiveModel,315.1000061035156,317.0199890136719,2026-04-17 00:00:00,0.0,1.91998291015625,0.0,0.0060932493588257,False,2026-04-17,False,False,1.92,3.6863,1.92,0.0061,,1.0,-1.91998291015625
WMT,_NaiveModel,124.81999969482422,127.5,2026-04-17 00:00:00,0.0,2.680000305175781,0.0,0.0214709206195175,False,2026-04-17,False,False,2.68,7.1824,2.68,0.021,,1.0,-2.6800003051757812
XOM,_NaiveModel,151.97999572753906,146.44000244140625,2026-04-17 00:00:00,0.0,-5.5399932861328125,0.0,-0.0364521216072712,False,2026-04-17,False,False,5.54,30.6915,5.54,0.0378,,1.0,5.5399932861328125
AAPL,_NaiveModel,266.42999267578125,263.3999938964844,2026-04-16 00:00:00,0.0,-3.029998779296875,0.0,-0.011372588907376,False,2026-04-16,False,False,3.03,9.1809,3.03,0.0115,,1.0,3.029998779296875
AMD,_NaiveModel,258.1199951171875,278.260009765625,2026-04-16 00:00:00,0.0,20.1400146484375,0.0,0.0780257826957336,False,2026-04-16,False,False,20.14,405.6202,20.14,0.0724,,1.0,-20.1400146484375
AMZN,_NaiveModel,248.5,249.6999969482422,2026-04-16 00:00:00,0.0,1.1999969482421875,0.0,0.0048289615623428,False,2026-04-16,False,False,1.2,1.44,1.2,0.0048,,1.0,-1.1999969482421875
ASML,_NaiveModel,1481.77001953125,1410.8299560546875,2026-04-16 00:00:00,0.0,-70.9400634765625,0.0,-0.0478752185167061,False,2026-04-16,False,False,70.9401,5032.4926,70.9401,0.0503,,1.0,70.9400634765625
AVGO,_NaiveModel,396.7200012207031,398.4700012207031,2026-04-16 00:00:00,0.0,1.75,0.0,0.0044111715936057,False,2026-04-16,False,False,1.75,3.0625,1.75,0.0044,,1.0,-1.75
BRK-B,_NaiveModel,474.0899963378906,475.1199951171875,2026-04-16 00:00:00,0.0,1.029998779296875,0.0,0.0021725807067288,False,2026-04-16,False,False,1.03,1.0609,1.03,0.0022,,1.0,-1.029998779296875
CAT,_NaiveModel,770.1699829101562,772.6599731445312,2026-04-16 00:00:00,0.0,2.489990234375,0.0,0.0032330398348769,False,2026-04-16,False,False,2.49,6.2001,2.49,0.0032,,1.0,-2.489990234375
