date,ticker,best_model,strategy_score,action,ret_1d,ret_5d,ret_20d,result_5d,pred_ARIMAModel,pred_LGBMRegressor,pred_LSTM,pred_RandomForestRegressor,pred_Ridge,pred_XGBRegressor,pred__NaiveModel
2026-05-04,MSFT,_NaiveModel,0.0,HOLD,-0.20%,0.16%,1.00%,Acierto,-,-,-,-,-,-,NEUTRO
2026-05-04,NEE,_NaiveModel,0.0,HOLD,-1.49%,-3.97%,-8.66%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,NVDA,_NaiveModel,0.0,HOLD,0.02%,8.44%,8.51%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,ORCL,_NaiveModel,0.0,HOLD,4.92%,14.04%,11.78%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,PG,_NaiveModel,0.0,HOLD,-2.61%,-0.57%,-1.91%,Acierto,-,-,-,-,-,-,NEUTRO
2026-05-04,PLTR,_NaiveModel,0.0,HOLD,1.36%,-4.35%,-4.99%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,TSLA,_NaiveModel,0.0,HOLD,0.43%,9.60%,9.00%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,TSM,_NaiveModel,0.0,HOLD,0.99%,3.52%,1.72%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,UNH,_NaiveModel,0.0,HOLD,0.53%,3.04%,5.34%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,V,_NaiveModel,0.0,HOLD,-0.36%,-2.82%,0.26%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,WMT,_NaiveModel,0.0,HOLD,-0.97%,-0.89%,-8.61%,Acierto,-,-,-,-,-,-,NEUTRO
2026-05-04,XOM,_NaiveModel,0.0,HOLD,0.62%,-5.36%,1.42%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-03,AAPL,_NaiveModel,0.0,HOLD,0.00%,2.61%,10.24%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-03,AMD,_NaiveModel,0.0,HOLD,0.00%,13.29%,29.67%,Fallo,-,-,-,-,-,-,NEUTRO
